year,sex,age,mx,qx,lx,dx,Lx,Tx,ex,causa
2019,m,45,0.0101814430329083,0.0496436062910408,86160.3923684557,4277.31259662121,420108.680350725,2240013.27500282,25.9981786691923,sin_homicidios
2019,m,50,0.013552532285776,0.0655420108824811,81883.0797718345,5366.78170549666,395998.444595431,1819904.5946521,22.2256490562302,sin_homicidios
2019,m,55,0.0206722916834493,0.0982821644882899,76516.2980663378,7520.18739259082,363781.021850212,1423906.15005667,18.6091876638121,sin_homicidios
2019,m,60,0.0276121562475143,0.129145796461088,68996.110673747,8910.55766567847,322704.159204539,1060125.12820645,15.3649983724348,sin_homicidios
2019,m,65,0.0414294644630192,0.187705931743439,60085.5530080685,11278.4147116993,272231.728261094,737420.969001915,12.2728498296902,sin_homicidios
2019,m,70,0.0644221890660037,0.2774294191049,48807.1382963692,13540.5360257342,210184.351417511,465189.240740821,9.53117222149094,sin_homicidios
2019,m,75,0.0917727099935908,0.373232219391706,35266.602270635,13162.6322358737,143426.430763491,255004.88932331,7.2307756603942,sin_homicidios
2019,m,80,0.154761719798833,0.557939433365924,22103.9700347613,12332.6765163321,79688.1588829764,111578.458559819,5.04789222860636,sin_homicidios
2019,m,85,0.306403314407377,1,9771.29351842922,9771.29351842922,31890.2996768431,31890.2996768431,3.26367226782167,sin_homicidios
2021,m,0,0.0191232929510605,0.0187984333689473,1e+05,1879.84333689474,98301.2361785987,6084892.90672907,60.8489290672907,sin_homicidios
2021,m,1,0.0011631716288464,0.0046397188337462,98120.1566631053,455.24993883993,391386.728793789,5986591.67055047,61.0128629442102,sin_homicidios
2021,m,5,0.000318298199398348,0.00159022558214315,97664.9067242653,155.309233150547,487936.26053845,5595204.94175668,57.2898201557031,sin_homicidios
2021,m,10,0.000498405510674649,0.00248892631689324,97509.5974911148,242.694203345294,486941.251947211,5107268.68121823,52.3770871034886,sin_homicidios
2021,m,15,0.0013616423207522,0.00678511435661323,97266.9032877695,659.967061921168,484684.598784045,4620327.42927102,47.5015372454238,sin_homicidios
2021,m,20,0.0028784033264224,0.0142891914913108,96606.9362258483,1380.43501111999,479583.593601442,4135642.83048698,42.8089637458189,sin_homicidios
2021,m,25,0.00430980260126005,0.0213193079837863,95226.5012147283,2030.1631076152,471057.098304604,3656059.23688553,38.3932958813787,sin_homicidios
2021,m,30,0.00534492024117689,0.0263722078372005,93196.3381071131,2457.79319822679,459837.207539999,3185002.13858093,34.1751854554663,sin_homicidios
2021,m,35,0.00766402579065414,0.0375997159709639,90738.5449088863,3411.74351619268,445163.36575395,2725164.93104093,30.0331566235426,sin_homicidios
2021,m,40,0.0100913801512576,0.0492152756175246,87326.8013926937,4297.81259933824,425889.475465123,2280001.56528698,26.1088409162521,sin_homicidios
2021,m,45,0.0157047550475531,0.075557254791356,83028.9887933554,6273.44246132822,399461.337813457,1854112.08982186,22.3309005296502,sin_homicidios
2021,m,50,0.0201638894396485,0.0959810680853136,76755.5463320272,7367.07931841974,365360.033364087,1454650.7520084,18.9517347152467,sin_homicidios
2021,m,55,0.0296757046301106,0.13813070792847,69388.4670136075,9584.67807066086,322980.639891385,1089290.71864432,15.6984404689428,sin_homicidios
2021,m,60,0.0417700901199941,0.189103296280871,59803.7889429466,11309.0936191967,270746.210666741,766310.078752932,12.813737930284,sin_homicidios
2021,m,65,0.0569588674709622,0.249295380944026,48494.6953237499,12089.5035444987,212249.717757503,495563.868086191,10.2189294061508,sin_homicidios
2021,m,70,0.0916003310942186,0.372661795773537,36405.1917792512,13566.8241439358,148108.898536417,283314.150328688,7.78224578644193,sin_homicidios
2021,m,75,0.128753696775425,0.487008214072535,22838.3676353154,11122.4726344069,86385.6565905597,135205.251792271,5.92009262444838,sin_homicidios
2021,m,80,0.204072357256986,0.675655340971575,11715.8950009085,7915.90703162598,38789.7074254774,48819.5952017116,4.16695397132921,sin_homicidios
2021,m,85,0.378866449362133,1,3799.98796928249,3799.98796928249,10029.8877762341,10029.8877762341,2.63945250808991,sin_homicidios
2010,f,0,0.0247733077401431,0.0242461499967789,1e+05,2424.6149996779,97872.0736492125,6925659.20905652,69.2565920905652,sin_homicidios
2010,f,1,0.000833168198367245,0.00332570237796315,97575.3850003221,324.506689926246,389485.209063638,6827787.1354073,69.9744831689341,sin_homicidios
2010,f,5,0.000510363146961062,0.00254856400194465,97250.8783103959,247.850087619372,485634.766332931,6438301.92634367,66.2030208693285,sin_homicidios
2010,f,10,0.000466034452083074,0.00232746056838854,97003.0282227765,225.77072320279,484450.714305876,5952667.16001074,61.3657869148155,sin_homicidios
2010,f,15,0.000737082097404785,0.00367863185281978,96777.2574995737,356.007902066471,482996.267742702,5468216.44570486,56.5031143368466,sin_homicidios
2010,f,20,0.000869577233084818,0.00433845461203061,96421.2495975072,418.319215014068,481060.449950001,4985220.17796216,51.7025053997126,sin_homicidios
2010,f,25,0.000825898404777829,0.0041209832401787,96002.9303824932,395.6264671143,479025.58574468,4504159.72801216,46.9168983703598,sin_homicidios
2010,f,30,0.00142280204971817,0.00708879536714485,95607.3039153789,677.740613060552,476342.168044243,4025134.14226748,42.100697095591,sin_homicidios
2010,f,35,0.00216065772520423,0.0107452466256936,94929.5633023183,1020.04156975279,472097.71258721,3548791.97422323,37.3834225163508,sin_homicidios
2010,f,40,0.00298412879777604,0.0148101554603582,93909.5217325655,1390.81461606719,466070.57212266,3076694.26163602,32.7623248939314,sin_homicidios
2010,f,45,0.00508483393830087,0.025105032389711,92518.7071164983,2322.68513881388,456786.822735457,2610623.68951336,28.2172521739425,sin_homicidios
2010,f,50,0.00819695218176303,0.0401617510270536,90196.0219776844,3622.43017829841,441924.034442676,2153836.86677791,23.8795106430613,sin_homicidios
2010,f,55,0.0131149327742177,0.0634929010488494,86573.591799386,5496.8084975619,419125.937753025,1711912.83233523,19.7740765602308,sin_homicidios
2010,f,60,0.0228014424466846,0.107858867816232,81076.7833018242,8744.85005311675,383521.791376329,1292786.89458221,15.9452168911235,sin_homicidios
2010,f,65,0.0349370088959278,0.160653189686544,72331.9332487074,11620.355792599,332608.776762039,909265.103205877,12.570728616909,sin_homicidios
